SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime,Latitude,Longitude,SequencingID,Alias1,Alias2,Notes
G3.DEPTH.NS.S4C6.15m.0_2um.A,km1906,4,6,0.2,A,15,04/16/19 08:11:00,41.67,-158.05,642990,S4C6 A 15m,DP18,depth profile
G3.DEPTH.NS.S4C6.15m.0_2um.B,km1906,4,6,0.2,B,15,04/16/19 08:11:00,41.67,-158.05,642983,S4C6 B 15m,DP10,depth profile
G3.DEPTH.NS.S4C6.50m.0_2um.A,km1906,4,6,0.2,A,50,04/16/19 08:03:00,41.67,-158.05,642992,S4C6 A DCM,DP20,depth profile
G3.DEPTH.NS.S4C6.50m.0_2um.B,km1906,4,6,0.2,B,50,04/16/19 08:03:00,41.67,-158.05,642985,S4C6 B DCM,DP13,depth profile
G3.DEPTH.NS.S4C6.75m.0_2um.A,km1906,4,6,0.2,A,75,04/16/19 08:00:00,41.67,-158.05,642982,S4C6 A 75m,DP9,depth profile
G3.DEPTH.NS.S4C6.75m.0_2um.B,km1906,4,6,0.2,B,75,04/16/19 08:00:00,41.67,-158.05,642981,S4C6 B 75m,DP8,depth profile
G3.DEPTH.NS.S5C8.15m.0_2um.A,km1906,5,8,0.2,A,15,04/20/19 08:05:00,37,-158,642993,S5C6 15m A,DP21,depth profile
G3.DEPTH.NS.S5C8.15m.0_2um.B,km1906,5,8,0.2,B,15,04/20/19 08:05:00,37,-158,642975,S5C6 15m B,DP2,depth profile
G3.DEPTH.NS.S5C8.55m.0_2um.A,km1906,5,8,0.2,A,55,04/20/19 08:00:00,37,-158,642995,S5C6 DCM A,DP24,depth profile
G3.DEPTH.NS.S5C8.55m.0_2um.B,km1906,5,8,0.2,B,55,04/20/19 08:00:00,37,-158,642994,S5C6 DCM B,DP23,depth profile
G3.DEPTH.NS.S5C8.125m.0_2um.A,km1906,5,8,0.2,A,125,04/20/19 07:56:00,37,-158,642978,S5C6 125m A,DP5,depth profile
G3.DEPTH.NS.S5C8.125m.0_2um.B,km1906,5,8,0.2,B,125,04/20/19 07:56:00,37,-158,642986,S5C6 125m B,DP14,depth profile
G3.DEPTH.NS.S6C7.15m.0_2um.A,km1906,6,7,0.2,A,15,04/22/19 06:44:00,32.92,-158,642977,S6C7 15m A,DP4,depth profile
G3.DEPTH.NS.S6C7.15m.0_2um.B,km1906,6,7,0.2,B,15,04/22/19 06:44:00,32.92,-158,642980,S6C7 15m B,DP7,depth profile
G3.DEPTH.NS.S6C7.75m.0_2um.A,km1906,6,7,0.2,A,75,04/22/19 06:40:00,32.92,-158,642984,S6C7 75m A,DP11,depth profile
G3.DEPTH.NS.S6C7.75m.0_2um.B,km1906,6,7,0.2,B,75,04/22/19 06:40:00,32.92,-158,642976,S6C7 75m B,DP3,depth profile
G3.DEPTH.NS.S6C7.130m.0_2um.B,km1906,6,7,0.2,B,130,04/22/19 06:36:00,32.92,-158,642979,S6C7 DCM B,DP6,depth profile
G3.DEPTH.NS.S8C2.15m.0_2um.A,km1906,8,2,0.2,A,15,04/24/19 14:47:00,42.33,-158,642989,S8C2 15m A,DP17,depth profile
